time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-24T10:17:54.702Z,63.9877,-22.2664,10,4.8,mb,,78,0.865,0.64,us,us6000dkmp,2021-05-04T14:16:52.040Z,"5 km E of Vogar, Iceland",earthquake,5.6,1.9,0.032,295,reviewed,us,us
2021-02-24T10:05:59.124Z,63.949,-22.2851,10,5.6,mww,,35,0.903,0.61,us,us6000dkmk,2021-05-04T14:16:52.040Z,"6 km SE of Vogar, Iceland",earthquake,5.1,1.8,0.039,64,reviewed,us,us
2021-02-24T10:05:44.412Z,64.2231,-22.0386,10,4.5,mb,,110,0.61,0.67,us,us6000dkml,2021-05-04T14:16:51.040Z,"8 km NNW of Seltjarnarnes, Iceland",earthquake,5.4,1.9,0.062,76,reviewed,us,us
2021-02-13T02:29:33.629Z,64.4401,-18.1314,10,4.3,mb,,125,1.412,0.41,us,us6000djcc,2021-04-23T21:04:26.040Z,"138 km S of Akureyri, Iceland",earthquake,13.1,2,0.142,15,reviewed,us,us
2020-10-20T15:32:45.493Z,63.9685,-22.2106,10,4.2,mb,,126,0.871,0.71,us,us6000cc60,2020-12-29T23:08:04.040Z,"8 km E of Vogar, Iceland",earthquake,3.9,1.9,0.199,9,reviewed,us,us
2020-10-20T13:43:17.460Z,64.0134,-22.1508,10,5.6,mww,,25,0.819,0.74,us,us6000ca0k,2020-12-29T23:08:04.040Z,"11 km SW of Álftanes, Iceland",earthquake,5.5,1.8,0.036,73,reviewed,us,us
2020-09-27T00:06:09.728Z,64.5113,-17.5691,7.08,4.8,mb,,67,1.635,0.57,us,us6000c1st,2020-12-05T21:03:00.040Z,"117 km WNW of Höfn, Iceland",earthquake,6.8,4.2,0.061,84,reviewed,us,us
2020-09-26T03:33:59.350Z,66.5571,-17.7235,10,4.2,mb,,79,2.352,0.66,us,us6000c3vi,2020-12-05T21:03:09.040Z,"60 km NNW of Norðurþing, Iceland",earthquake,6.9,1.8,0.153,12,reviewed,us,us
2020-09-26T03:32:05.472Z,66.5245,-17.6314,10,4.2,mb,,81,2.352,0.84,us,us6000c3vh,2020-12-05T21:03:09.040Z,"55 km NNW of Norðurþing, Iceland",earthquake,7.1,1.7,0.176,9,reviewed,us,us
2020-09-26T02:47:14.350Z,66.5662,-17.946,10,4.5,mb,,59,2.301,1.14,us,us6000c3ve,2020-12-05T21:03:09.040Z,"63 km NE of Siglufjörður, Iceland",earthquake,6,1.9,0.139,15,reviewed,us,us
2020-09-15T14:52:12.615Z,66.1498,-17.8724,10,4.3,mb,,67,2.016,0.74,us,us7000bniv,2020-11-21T20:10:44.040Z,"27 km WNW of Norðurþing, Iceland",earthquake,6.3,1.9,0.101,28,reviewed,us,us
2020-08-26T16:15:06.632Z,64.091,-22.1238,10,4.5,mb,,89,0.744,0.88,us,us7000bd8f,2020-11-07T18:48:28.040Z,"5 km W of Álftanes, Iceland",earthquake,5.3,1.9,0.068,63,reviewed,us,us
2020-07-20T05:46:28.805Z,64.0237,-22.3113,10,4.1,mb,,132,0.843,0.55,us,us7000arxc,2020-09-26T16:58:42.040Z,"5 km NE of Vogar, Iceland",earthquake,6.6,2,0.158,11,reviewed,us,us
